userid,foodid,rating
17104006,45,4
17104006,39,3
17104007,30,2
17104007,36,3
17104007,20,4
17104007,27,3
17104007,2,5
17104007,21,3
17104007,21,4
17104007,30,2
17104007,54,5
17104007,42,3
17104007,50,5
17104007,53,3
17104007,43,5
17104007,61,1
17104007,39,2
17104007,39,4
17104007,50,3
17104007,30,5
17104007,31,2
17104007,39,3
17104007,61,1
17104007,62,1
17104007,72,2
17104007,36,3
17104007,46,1
17104007,69,5
17104007,61,4
17104007,22,1
17104007,19,1
17104007,70,1
17104007,53,4
17104007,78,2
17104007,42,5
17104007,35,4
17104007,37,4
17104007,79,5
17104007,37,3
17104007,52,4
17104007,76,1
17104007,53,4
17104008,6,2
17104008,72,2
17104008,56,3
17104008,61,2
17104008,1,4
17104008,15,1
17104008,2,2
17104008,6,2
17104008,51,3
17104008,25,5
17104008,55,1
17104008,40,1
17104008,65,2
17104008,6,2
17104008,31,5
17104008,20,2
17104008,20,5
17104008,71,3
17104008,76,5
17104008,33,5
17104008,67,3
17104008,28,5
17104008,34,3
17104008,45,5
17104008,49,4
17104008,30,3
17104008,74,4
17104008,44,2
17104008,36,4
17104008,42,3
17104008,26,2
17104008,65,4
17104008,3,4
17104008,43,1
17104008,14,4
17104008,23,5
17104008,37,5
17104008,30,5
17104008,73,2
17104008,69,4
17104009,39,5
17104009,62,4
17104009,80,3
17104009,35,4
17104009,78,1
17104009,47,3
17104009,64,4
17104009,81,5
17104009,73,2
17104009,79,5
17104009,44,2
17104009,46,2
17104009,46,3
17104009,35,1
17104009,70,1
17104009,8,5
17104009,78,4
17104009,22,2
17104009,25,4
17104009,33,1
17104009,17,4
17104009,50,4
17104009,9,3
17104009,41,2
17104009,50,5
17104009,13,5
17104009,59,1
17104009,45,1
17104009,45,3
17104009,4,4
17104009,18,3
17104009,26,2
17104009,28,2
17104009,6,4
17104009,25,4
17104009,37,1
17104009,53,1
17104009,48,4
17104009,15,3
17104009,15,4
17104010,78,5
17104010,36,2
17104010,30,2
17104010,23,3
17104010,80,1
17104010,9,4
17104010,72,5
17104010,20,4
17104010,5,4
17104010,64,4
17104010,72,2
17104010,57,4
17104010,26,4
17104010,9,4
17104010,27,5
17104010,31,5
17104010,8,1
17104010,56,3
17104010,81,1
17104010,33,4
17104010,38,1
17104010,42,2
17104010,69,2
17104010,40,1
17104010,29,1
17104010,31,5
17104010,16,4
17104010,77,5
17104010,25,2
17104010,58,2
17104010,4,4
17104010,26,3
17104010,71,1
17104010,6,1
17104010,35,5
17104010,59,2
17104010,29,1
17104010,71,4
17104010,39,4
17104010,14,5
17104011,56,3
17104011,6,4
17104011,47,3
17104011,31,2
17104011,76,1
17104011,66,3
17104011,69,3
17104011,81,5
17104011,61,5
17104011,65,2
17104011,81,1
17104011,46,2
17104011,11,1
17104011,11,3
17104011,76,4
17104011,30,1
17104011,2,1
17104011,57,3
17104011,40,4
17104011,55,3
17104011,41,3
17104011,62,4
17104011,70,1
17104011,48,1
17104011,30,3
17104011,43,4
17104011,56,2
17104011,35,3
17104011,74,5
17104011,70,3
17104011,21,1
17104011,77,2
17104011,35,1
17104011,58,5
17104011,44,5
17104011,22,5
17104011,30,2
17104011,56,3
17104011,76,4
17104011,3,1
17104012,6,5
17104012,55,2
17104012,33,2
17104012,7,5
17104012,75,2
17104012,28,3
17104012,14,1
17104012,51,3
17104012,21,2
17104012,6,4
17104012,75,5
17104012,79,5
17104012,73,2
17104012,33,3
17104012,79,5
17104012,80,2
17104012,33,3
17104012,49,3
17104012,4,1
17104012,31,3
17104012,50,4
17104012,15,4
17104012,21,2
17104012,57,1
17104012,58,3
17104012,58,1
17104012,14,3
17104012,71,1
17104012,30,4
17104012,32,2
17104012,57,1
17104012,69,2
17104012,78,3
17104012,59,5
17104012,35,4
17104012,69,2
17104012,40,2
17104012,61,5
17104012,19,2
17104012,76,4
17104013,49,4
17104013,27,2
17104013,39,3
17104013,10,2
17104013,64,1
17104013,79,1
17104013,73,4
17104013,24,3
17104013,4,2
17104013,54,4
17104013,56,2
17104013,51,1
17104013,32,5
17104013,16,2
17104013,45,2
17104013,37,2
17104013,24,1
17104013,78,1
17104013,47,4
17104013,42,1
17104013,28,4
17104013,74,1
17104013,24,5
17104013,80,5
17104013,54,5
17104013,76,3
17104013,55,2
17104013,15,4
17104013,17,4
17104013,74,3
17104013,44,5
17104013,52,4
17104013,18,2
17104013,48,1
17104013,18,5
17104013,28,5
17104013,39,4
17104013,69,1
17104013,38,2
17104013,60,2
17104014,63,2
17104014,36,4
17104014,39,4
17104014,77,2
17104014,50,1
17104014,26,5
17104014,13,3
17104014,69,3
17104014,68,4
17104014,67,4
17104014,80,4
17104014,23,2
17104014,11,4
17104014,31,4
17104014,76,3
17104014,21,2
17104014,17,2
17104014,1,1
17104014,76,4
17104014,8,5
17104014,26,4
17104014,72,1
17104014,31,1
17104014,56,5
17104014,10,2
17104014,66,1
17104014,21,5
17104014,16,4
17104014,37,5
17104014,58,1
17104014,38,3
17104014,58,5
17104014,39,4
17104014,13,1
17104014,27,2
17104014,36,2
17104014,31,4
17104014,66,2
17104014,57,3
17104014,47,5
17104015,12,1
17104015,59,4
17104015,81,5
17104015,20,5
17104015,35,1
17104015,8,4
17104015,42,1
17104015,3,4
17104015,40,2
17104015,18,2
17104015,68,1
17104015,7,5
17104015,2,2
17104015,77,4
17104015,20,2
17104015,36,5
17104015,16,3
17104015,63,3
17104015,19,2
17104015,50,5
17104015,79,5
17104015,7,4
17104015,61,3
17104015,46,4
17104015,74,4
17104015,20,1
17104015,24,4
17104015,22,3
17104015,15,1
17104015,2,3
17104015,22,4
17104015,80,4
17104015,16,4
17104015,1,5
17104015,76,5
17104015,17,4
17104015,17,2
17104015,6,4
17104015,18,1
17104015,45,4
17104016,15,4
17104016,64,1
17104016,12,3
17104016,36,5
17104016,76,2
17104016,77,1
17104016,54,1
17104016,75,2
17104016,68,4
17104016,31,5
17104016,42,5
17104016,59,4
17104016,50,4
17104016,28,1
17104016,21,5
17104016,11,5
17104016,35,2
17104016,50,5
17104016,31,3
17104016,47,2
17104016,39,1
17104016,47,1
17104016,23,3
17104016,79,1
17104016,80,5
17104016,23,4
17104016,36,2
17104016,54,5
17104016,47,1
17104016,71,4
17104016,62,2
17104016,3,4
17104016,3,2
17104016,59,4
17104016,76,5
17104016,49,5
17104016,45,5
17104016,78,5
17104016,29,1
17104016,4,3
17104017,13,3
17104017,28,5
17104017,50,2
17104017,49,5
17104017,25,3
17104017,62,3
17104017,3,1
17104017,22,3
17104017,15,2
17104017,65,2
17104017,61,2
17104017,3,4
17104017,2,3
17104017,37,5
17104017,73,4
17104017,43,2
17104017,79,1
17104017,25,5
17104017,77,4
17104017,11,3
17104017,11,2
17104017,3,3
17104017,12,3
17104017,51,5
17104017,41,4
17104017,33,4
17104017,15,4
17104017,6,3
17104017,81,2
17104017,25,4
17104017,60,5
17104017,28,3
17104017,43,1
17104017,1,3
17104017,60,4
17104017,17,4
17104017,49,4
17104017,9,5
17104017,26,2
17104017,74,5
17104018,8,4
17104018,23,3
17104018,62,1
17104018,41,3
17104018,73,3
17104018,65,2
17104018,10,1
17104018,20,1
17104018,49,4
17104018,17,3
17104018,62,5
17104018,22,1
17104018,20,3
17104018,32,1
17104018,1,3
17104018,71,2
17104018,20,3
17104018,55,1
17104018,75,3
17104018,80,2
17104018,34,1
17104018,61,5
17104018,16,3
17104018,30,3
17104018,33,4
17104018,74,4
17104018,78,5
17104018,62,4
17104018,51,1
17104018,4,1
17104018,53,5
17104018,75,4
17104018,8,4
17104018,29,5
17104018,42,4
17104018,62,2
17104018,76,1
17104018,20,1
17104018,26,4
17104018,67,2
17104019,10,3
17104019,17,2
17104019,17,3
17104019,63,5
17104019,26,4
17104019,3,5
17104019,28,4
17104019,5,4
17104019,35,4
17104019,54,1
17104019,9,5
17104019,3,3
17104019,12,4
17104019,46,3
17104019,78,5
17104019,19,1
17104019,63,4
17104019,38,2
17104019,72,3
17104019,21,4
17104019,41,2
17104019,31,5
17104019,69,4
17104019,62,2
17104019,20,4
17104019,34,3
17104019,77,3
17104019,12,5
17104019,25,1
17104019,13,1
17104019,6,1
17104019,64,3
17104019,11,2
17104019,31,2
17104019,34,5
17104019,31,1
17104019,36,2
17104019,1,3
17104019,68,4
17104019,46,4
17104020,22,5
17104020,61,4
17104020,20,5
17104020,7,3
17104020,43,2
17104020,47,1
17104020,18,2
17104020,17,4
17104020,62,1
17104020,58,2
17104020,60,1
17104020,3,1
17104020,2,5
17104020,37,2
17104020,15,3
17104020,78,3
17104020,18,5
17104020,28,1
17104020,66,1
17104020,5,4
17104020,66,3
17104020,49,1
17104020,15,4
17104020,53,4
17104020,75,1
17104020,78,1
17104020,58,1
17104020,42,5
17104020,73,4
17104020,69,4
17104020,34,3
17104020,79,1
17104020,48,2
17104020,50,5
17104020,60,4
17104020,13,1
17104020,72,5
17104020,29,2
17104020,48,4
17104020,54,2
17104021,75,1
17104021,52,4
17104021,4,3
17104021,47,1
17104021,59,4
17104021,38,2
17104021,53,4
17104021,5,3
17104021,78,4
17104021,29,4
17104021,19,3
17104021,14,3
17104021,39,5
17104021,56,5
17104021,9,5
17104021,81,2
17104021,53,1
17104021,17,5
17104021,27,1
17104021,3,5
17104021,17,4
17104021,38,5
17104021,64,4
17104021,44,4
17104021,65,3
17104021,50,1
17104021,3,5
17104021,11,4
17104021,79,3
17104021,11,1
17104021,30,4
17104021,49,3
17104021,9,4
17104021,27,5
17104021,12,4
17104021,57,4
17104021,20,4
17104021,28,5
17104021,10,3
17104021,81,1
17104022,12,1
17104022,40,4
17104022,33,3
17104022,42,2
17104022,56,3
17104022,4,4
17104022,80,2
17104022,5,5
17104022,58,2
17104022,76,4
17104022,76,3
17104022,57,1
17104022,23,2
17104022,13,4
17104022,49,1
17104022,63,4
17104022,10,3
17104022,46,3
17104022,50,4
17104022,25,4
17104022,12,2
17104022,19,3
17104022,42,3
17104022,27,4
17104022,37,1
17104022,60,5
17104022,6,2
17104022,28,3
17104022,69,4
17104022,55,1
17104022,30,4
17104022,38,4
17104022,43,3
17104022,7,2
17104022,40,2
17104022,31,4
17104022,46,1
17104022,52,3
17104022,54,1
17104022,23,3
17104023,65,1
17104023,14,2
17104023,26,4
17104023,36,2
17104023,6,5
17104023,80,2
17104023,60,3
17104023,18,4
17104023,15,5
17104023,43,2
17104023,35,5
17104023,7,5
17104023,42,1
17104023,8,2
17104023,77,1
17104023,71,2
17104023,64,4
17104023,47,4
17104023,31,3
17104023,21,4
17104023,58,1
17104023,14,2
17104023,25,3
17104023,6,4
17104023,47,4
17104023,54,4
17104023,36,3
17104023,47,1
17104023,71,2
17104023,80,5
17104023,17,4
17104023,18,3
17104023,44,3
17104023,78,4
17104023,27,4
17104023,79,5
17104023,64,3
17104023,61,1
17104023,50,3
17104023,29,2
17104024,73,1
17104024,4,4
17104024,42,4
17104024,63,4
17104024,42,5
17104024,39,4
17104024,28,1
17104024,55,2
17104024,8,5
17104024,73,1
17104024,24,2
17104024,28,4
17104024,6,5
17104024,57,4
17104024,2,3
17104024,14,5
17104024,11,1
17104024,14,3
17104024,11,3
17104024,22,2
17104024,59,1
17104024,51,4
17104024,39,1
17104024,66,4
17104024,57,5
17104024,71,4
17104024,31,4
17104024,43,3
17104024,16,5
17104024,6,5
17104024,74,2
17104024,52,4
17104024,67,5
17104024,14,1
17104024,75,4
17104024,19,4
17104024,72,2
17104024,12,4
17104024,61,3
17104024,78,5
17104025,73,4
17104025,59,2
17104025,13,2
17104025,24,3
17104025,44,5
17104025,45,2
17104025,1,2
17104025,6,4
17104025,55,3
17104025,77,4
17104025,51,1
17104025,69,5
17104025,25,4
17104025,46,3
17104025,30,1
17104025,47,1
17104025,56,2
17104025,53,4
17104025,33,5
17104025,43,3
17104025,10,4
17104025,25,5
17104025,68,2
17104025,17,2
17104025,57,3
17104025,39,3
17104025,62,4
17104025,8,2
17104025,4,3
17104025,56,1
17104025,56,4
17104025,47,3
17104025,73,5
17104025,76,5
17104025,64,1
17104025,65,1
17104025,40,1
17104025,78,2
17104025,51,5
17104025,7,2
17104026,69,2
17104026,44,1
17104026,38,1
17104026,44,1
17104026,77,3
17104026,28,4
17104026,46,4
17104026,3,5
17104026,40,1
17104026,18,2
17104026,60,3
17104026,56,2
17104026,70,5
17104026,41,5
17104026,33,2
17104026,9,2
17104026,72,3
17104026,12,1
17104026,66,5
17104026,72,4
17104026,53,4
17104026,35,2
17104026,36,4
17104026,24,4
17104026,71,1
17104026,31,2
17104026,59,1
17104026,62,3
17104026,22,1
17104026,47,4
17104026,19,2
17104026,51,4
17104026,24,2
17104026,22,2
17104026,57,1
17104026,20,2
17104026,29,1
17104026,54,2
17104026,63,4
17104026,67,1
17104027,37,2
17104027,56,5
17104027,57,5
17104027,75,2
17104027,55,2
17104027,68,2
17104027,19,2
17104027,53,2
17104027,70,3
17104027,66,3
17104027,47,2
17104027,81,4
17104027,16,5
17104027,9,1
17104027,78,2
17104027,26,1
17104027,2,3
17104027,60,2
17104027,53,1
17104027,66,1
17104027,44,4
17104027,77,2
17104027,66,3
17104027,19,3
17104027,15,5
17104027,1,2
17104027,9,4
17104027,43,1
17104027,42,1
17104027,21,5
17104027,24,3
17104027,29,3
17104027,38,1
17104027,81,4
17104027,44,1
17104027,31,2
17104027,39,2
17104027,28,2
17104027,8,5
17104027,44,3
17104028,73,5
17104028,29,1
17104028,42,4
17104028,30,4
17104028,35,2
17104028,51,4
17104028,15,2
17104028,8,4
17104028,73,4
17104028,66,4
17104028,79,2
17104028,23,3
17104028,31,5
17104028,27,2
17104028,74,4
17104028,81,3
17104028,25,3
17104028,38,1
17104028,75,1
17104028,81,3
17104028,75,2
17104028,69,2
17104028,38,4
17104028,10,4
17104028,50,3
17104028,66,4
17104028,4,3
17104028,43,2
17104028,70,3
17104028,37,4
17104028,31,5
17104028,50,3
17104028,49,3
17104028,2,3
17104028,78,4
17104028,15,3
17104028,13,3
17104028,71,5
17104028,69,5
17104028,41,1
17104029,42,1
17104029,40,3
17104029,60,2
17104029,27,5
17104029,22,3
17104029,19,3
17104029,46,2
17104029,24,4
17104029,37,2
17104029,68,3
17104029,11,1
17104029,53,3
17104029,75,2
17104029,28,4
17104029,23,1
17104029,49,5
17104029,35,4
17104029,41,5
17104029,32,2
17104029,4,4
17104029,1,4
17104029,39,4
17104029,6,5
17104029,36,1
17104029,76,4
17104029,30,1
17104029,6,3
17104029,4,5
17104029,5,2
17104029,3,3
17104029,32,4
17104029,1,4
17104029,57,3
17104029,52,3
17104029,50,1
17104029,57,5
17104029,6,1
17104029,54,4
17104029,6,4
17104029,29,5
17104030,54,4
17104030,4,4
17104030,71,5
17104030,3,5
17104030,80,2
17104030,69,2
17104030,22,3
17104030,6,4
17104030,75,1
17104030,54,4
17104030,76,4
17104030,29,5
17104030,32,1
17104030,58,3
17104030,5,2
17104030,49,4
17104030,53,1
17104030,16,3
17104030,9,2
17104030,75,2
17104030,52,5
17104030,77,3
17104030,12,5
17104030,70,5
17104030,21,2
17104030,37,4
17104030,8,1
17104030,56,2
17104030,26,3
17104030,44,4
17104030,67,3
17104030,78,3
17104030,44,1
17104030,49,5
17104030,5,5
17104030,21,2
17104030,54,3
17104030,7,4
17104030,68,3
17104030,45,2
17104031,75,2
17104031,17,4
17104031,10,1
17104031,50,3
17104031,52,4
17104031,29,5
17104031,78,4
17104031,38,4
17104031,42,1
17104031,66,2
17104031,15,3
17104031,40,3
17104031,73,5
17104031,60,2
17104031,73,3
17104031,64,1
17104031,12,2
17104031,11,5
17104031,28,2
17104031,49,2
17104031,59,1
17104031,39,1
17104031,3,2
17104031,47,2
17104031,36,5
17104031,44,3
17104031,14,3
17104031,27,2
17104031,59,3
17104031,8,4
17104031,64,2
17104031,46,1
17104031,61,3
17104031,17,1
17104031,67,5
17104031,53,2
17104031,18,1
17104031,12,5
17104031,12,4
17104031,18,3
17104032,11,3
17104032,9,3
17104032,60,2
17104032,70,4
17104032,11,3
17104032,43,5
17104032,74,1
17104032,37,4
17104032,71,3
17104032,5,1
17104032,6,5
17104032,29,2
17104032,17,4
17104032,16,3
17104032,79,1
17104032,59,4
17104032,41,4
17104032,62,5
17104032,44,3
17104032,52,4
17104032,13,3
17104032,62,2
17104032,9,4
17104032,50,1
17104032,47,2
17104032,76,3
17104032,22,1
17104032,12,2
17104032,5,4
17104032,28,2
17104032,21,4
17104032,33,1
17104032,77,3
17104032,37,5
17104032,16,2
17104032,5,4
17104032,14,2
17104032,51,4
17104032,80,3
17104032,71,1
17104033,62,5
17104033,2,4
17104033,4,3
17104033,15,5
17104033,63,4
17104033,44,2
17104033,67,4
17104033,40,2
17104033,48,2
17104033,79,2
17104033,21,5
17104033,38,4
17104033,2,2
17104033,64,2
17104033,52,4
17104033,16,2
17104033,52,5
17104033,58,5
17104033,26,3
17104033,69,5
17104033,28,4
17104033,16,2
17104033,31,4
17104033,12,3
17104033,51,5
17104033,15,1
17104033,72,4
17104033,65,5
17104033,70,3
17104033,49,1
17104033,28,5
17104033,74,3
17104033,75,3
17104033,41,3
17104033,12,1
17104033,25,5
17104033,16,4
17104033,7,1
17104033,2,3
17104033,55,5
17104034,52,2
17104034,2,5
17104034,28,4
17104034,41,2
17104034,24,3
17104034,77,5
17104034,66,4
17104034,68,2
17104034,56,5
17104034,12,2
17104034,22,5
17104034,44,4
17104034,68,2
17104034,41,4
17104034,49,4
17104034,79,5
17104034,60,2
17104034,24,5
17104034,30,5
17104034,47,5
17104034,40,4
17104034,9,3
17104034,51,3
17104034,32,1
17104034,45,1
17104034,67,5
17104034,62,1
17104034,5,4
17104034,69,2
17104034,78,4
17104034,39,4
17104034,10,3
17104034,38,2
17104034,8,2
17104034,47,4
17104034,30,3
17104034,37,3
17104034,62,3
17104034,65,5
17104034,25,2
17104035,60,4
17104035,71,5
17104035,45,4
17104035,4,4
17104035,14,3
17104035,40,5
17104035,30,1
17104035,66,1
17104035,76,5
17104035,81,2
17104035,57,4
17104035,56,4
17104035,54,1
17104035,71,4
17104035,59,3
17104035,43,4
17104035,5,4
17104035,43,3
17104035,81,4
17104035,8,5
17104035,32,1
17104035,48,1
17104035,66,1
17104035,2,1
17104035,78,5
17104035,8,1
17104035,41,4
17104035,39,3
17104035,56,2
17104035,38,2
17104035,35,2
17104035,62,5
17104035,59,1
17104035,20,5
17104035,39,4
17104035,7,2
17104035,61,3
17104035,23,3
17104035,74,4
17104035,76,2
17104036,16,5
17104036,2,5
17104036,25,3
17104036,13,4
17104036,1,4
17104036,6,5
17104036,72,5
17104036,35,5
17104036,37,3
17104036,37,1
17104036,59,1
17104036,55,4
17104036,26,1
17104036,39,1
17104036,66,4
17104036,73,5
17104036,81,2
17104036,69,3
17104036,59,1
17104036,74,5
17104036,53,3
17104036,67,4
17104036,15,5
17104036,61,4
17104036,61,5
17104036,36,4
17104036,11,4
17104036,36,2
17104036,4,4
17104036,23,2
17104036,67,1
17104036,73,2
17104036,63,3
17104036,1,5
17104036,42,2
17104036,58,2
17104036,67,2
17104036,63,1
17104036,16,1
17104036,8,3
17104037,46,3
17104037,72,5
17104037,23,5
17104037,29,1
17104037,52,5
17104037,8,2
17104037,81,4
17104037,50,2
17104037,21,4
17104037,7,4
17104037,48,1
17104037,11,2
17104037,29,1
17104037,53,3
17104037,53,2
17104037,65,3
17104037,15,1
17104037,4,2
17104037,12,1
17104037,44,2
17104037,45,1
17104037,50,5
17104037,4,1
17104037,6,3
17104037,3,3
17104037,66,1
17104037,54,1
17104037,38,3
17104037,34,1
17104037,79,2
17104037,17,2
17104037,22,2
17104037,65,3
17104037,58,3
17104037,10,2
17104037,72,4
17104037,27,5
17104037,4,3
17104037,46,3
17104037,12,3
17104038,38,5
17104038,33,2
17104038,33,1
17104038,23,4
17104038,21,5
17104038,51,1
17104038,22,1
17104038,16,4
17104038,51,3
17104038,31,4
17104038,69,4
17104038,7,4
17104038,35,1
17104038,18,2
17104038,72,4
17104038,20,4
17104038,48,1
17104038,64,5
17104038,6,3
17104038,63,5
17104038,74,5
17104038,73,1
17104038,70,3
17104038,74,5
17104038,30,1
17104038,67,5
17104038,19,1
17104038,78,3
17104038,70,3
17104038,36,4
17104038,9,5
17104038,34,1
17104038,29,4
17104038,49,3
17104038,37,3
17104038,5,3
17104038,53,3
17104038,63,4
17104038,15,2
17104038,25,5
17104039,14,5
17104039,80,3
17104039,36,4
17104039,21,5
17104039,43,2
17104039,79,3
17104039,51,4
17104039,11,2
17104039,2,2
17104039,65,5
17104039,73,5
17104039,17,5
17104039,29,1
17104039,60,3
17104039,25,3
17104039,24,4
17104039,20,2
17104039,77,1
17104039,35,5
17104039,3,2
17104039,49,1
17104039,65,2
17104039,5,2
17104039,41,4
17104039,64,5
17104039,51,1
17104039,65,3
17104039,39,2
17104039,8,2
17104039,58,1
17104039,51,5
17104039,9,1
17104039,23,2
17104039,14,5
17104039,45,4
17104039,32,1
17104039,3,2
17104039,43,2
17104039,31,2
17104039,69,5
17104040,56,4
17104040,4,2
17104040,48,3
17104040,16,3
17104040,37,4
17104040,67,4
17104040,27,4
17104040,49,1
17104040,61,3
17104040,62,1
17104040,59,5
17104040,29,1
17104040,70,2
17104040,53,3
17104040,28,4
17104040,29,3
17104040,59,4
17104040,70,1
17104040,80,2
17104040,79,3
17104040,42,5
17104040,23,4
17104040,6,1
17104040,51,2
17104040,48,5
17104040,23,2
17104040,58,3
17104040,4,3
17104040,55,2
17104040,19,3
17104040,14,4
17104040,47,5
17104040,17,1
17104040,35,4
17104040,6,5
17104040,26,2
17104040,71,2
17104040,48,1
17104040,75,5
17104040,51,5
17104041,81,4
17104041,69,3
17104041,23,1
17104041,32,3
17104041,18,1
17104041,20,4
17104041,65,5
17104041,24,5
17104041,79,1
17104041,45,2
17104041,30,3
17104041,66,5
17104041,5,2
17104041,41,4
17104041,35,2
17104041,64,5
17104041,11,2
17104041,64,2
17104041,71,5
17104041,45,4
17104041,46,4
17104041,36,5
17104041,49,3
17104041,20,1
17104041,34,3
17104041,18,3
17104041,67,1
17104041,39,1
17104041,73,2
17104041,72,1
17104041,13,2
17104041,60,1
17104041,74,3
17104041,22,5
17104041,49,4
17104041,42,2
17104041,35,4
17104041,40,2
17104041,59,3
17104041,80,5
17104042,72,5
17104042,68,2
17104042,47,5
17104042,17,1
17104042,47,5
17104042,36,1
17104042,17,4
17104042,79,3
17104042,38,1
17104042,3,3
17104042,35,2
17104042,25,5
17104042,16,2
17104042,29,3
17104042,68,5
17104042,13,5
17104042,23,1
17104042,66,1
17104042,13,5
17104042,16,1
17104042,26,2
17104042,4,1
17104042,49,1
17104042,26,5
17104042,67,1
17104042,53,4
17104042,36,1
17104042,41,3
17104042,63,4
17104042,51,4
17104042,62,5
17104042,27,4
17104042,5,3
17104042,27,2
17104042,19,5
17104042,50,3
17104042,33,1
17104042,60,5
17104042,66,3
17104042,81,1
17104043,50,4
17104043,35,2
17104043,28,3
17104043,35,1
17104043,50,2
17104043,69,2
17104043,39,2
17104043,70,4
17104043,75,5
17104043,72,1
17104043,11,4
17104043,46,1
17104043,72,4
17104043,13,5
17104043,80,5
17104043,32,2
17104043,66,1
17104043,41,5
17104043,47,3
17104043,38,1
17104043,23,4
17104043,14,1
17104043,6,1
17104043,31,4
17104043,5,3
17104043,34,3
17104043,76,5
17104043,74,4
17104043,1,5
17104043,41,5
17104043,73,5
17104043,35,5
17104043,15,5
17104043,63,2
17104043,1,5
17104043,35,2
17104043,3,3
17104043,8,3
17104043,77,1
17104043,65,5
17104044,50,4
17104044,35,4
17104044,16,4
17104044,43,1
17104044,35,5
17104044,76,5
17104044,27,3
17104044,78,2
17104044,38,3
17104044,52,4
17104044,13,1
17104044,77,2
17104044,37,3
17104044,64,1
17104044,71,5
17104044,19,5
17104044,13,5
17104044,51,2
17104044,74,4
17104044,5,2
17104044,11,2
17104044,24,1
17104044,59,3
17104044,7,3
17104044,50,1
17104044,51,5
17104044,73,5
